metrekare,kira,banyo,tip,see
295,2650,1,3,20
125,950,1,0,65
255,2350,2,0,45
155,1150,1,0,30
290,2550,2,0,25
220,1850,2,0,25
250,2250,2,0,10
150,1050,1,0,60
280,2450,2,2,10
215,1750,1,1,25
240,2200,2,0,25
175,1450,1,0,20
105,2850,1,2,20
135,1150,1,0,40
265,2600,2,2,12
155,1850,1,0,22
165,2200,2,0,17
130,850,1,0,65
170,1500,1,0,20
180,1500,1,0,20
165,1750,1,0,24
100,900,1,0,60
150,1100,1,1,30
150,900,1,0,65
210,1400,1,0,20
155,1350,1,0,20
130,1850,1,0,25
240,1250,1,0,22
285,950,1,0,65
105,1200,1,0,40
120,2050,1,0,25
120,1800,1,0,26
225,2450,2,0,20
125,1250,1,0,20
200,1600,1,0,20
100,1100,1,0,40
160,2300,2,0,15
80,950,1,0,60
300,3250,3,2,10
100,1800,1,0,22
165,1350,1,0,20
110,1100,1,0,25
175,1750,1,0,20
200,1800,1,0,25
165,2200,1,0,16
160,1800,1,0,20
200,1500,1,0,20
230,1850,1,1,22
200,1600,1,0,20
295,900,1,0,80
225,2300,2,0,15
160,1550,1,0,22
185,2000,1,0,20
190,1750,1,0,40
220,2200,1,0,6
120,1000,1,0,60
250,2400,2,0,20
185,1700,1,0,40
280,2600,2,0,25
145,1400,1,0,30
275,2800,2,0,30
105,1100,1,0,10
235,2500,1,0,10
265,2950,2,2,10
195,2250,1,0,5
130,1500,1,0,20
155,1950,1,0,20
290,1200,2,0,15
220,2650,1,0,20
120,1400,1,1,30
220,2350,1,0,10
265,950,1,0,80
200,2350,2,0,30
295,1150,2,0,35
160,2050,1,0,26
220,850,2,0,100
225,4000,2,3,20
290,2600,2,0,22
230,1350,1,1,30
200,2800,2,0,25
285,2500,1,0,24
225,1300,2,0,40
235,2700,2,3,22
155,2400,1,0,30
245,2450,1,0,4
175,1700,2,0,20
205,2150,2,0,15
280,1150,2,0,30
180,2050,2,0,10
235,2200,2,0,30
100,4100,1,3,20
200,1650,1,0,50
100,2600,1,2,10
200,1400,2,0,30
130,2800,1,0,20
265,2050,2,0,9
290,2500,2,1,11
225,1800,1,0,20
285,2700,2,0,25
215,2000,1,0,6
400,4000,3,3,20
325,3050,2,2,40
245,2100,1,1,45
120,1500,2,1,70
125,1100,1,1,56
